ID_ETABLISSEMENT;Adresse;Commune;Code_postal;Implantations;Concordance_classeur;ID_a_revoir;Position;Adresse_ACT;Latitude;Longitude
ETA-000001;1, Marbuergerstrooss, 9764 Marnach;Clervaux;L-9764;1;Concordant;;Validé automatiquement;1, Marbuergerstrooss 9764 Marnach;50.051681415;6.072241721
ETA-000002;1 pl. Ste Cunégonde, L-1367 Luxembourg-Clausen;Luxembourg;L-1367;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000003;1, Rue D'eich, 1461 Luxembourg;Luxembourg;L-1461;1;Concordant;;Validé automatiquement;1, Rue d'Eich 1461 Luxembourg;49.628253969;6.130239498
ETA-000004;1 Rue De Bonnevoie, 1260 Luxembourg;Luxembourg;L-1260;1;Concordant;;Validé automatiquement;1, Rue de Bonnevoie 1260 Luxembourg;49.603146204;6.13328783
ETA-000005;1 Rue De L'hôpital, 8423 Steinfort;Steinfort;L-8423;1;Concordant;;Validé automatiquement;1, Rue de l'Hôpital 8423 Steinfort;49.660918889;5.912767982
ETA-000006;1, Rue de Mathias Goergen, 8028 Strassen;Strassen;L-8028;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000007;1 Rue Des Artisans, 4017 Esch-sur-Alzette;Esch-sur-Alzette;L-4017;1;Concordant;;Validé automatiquement;1, Rue des Artisans 4017 Esch-sur-Alzette;49.496105019;5.984176202
ETA-000008;1 Rue Des Capucines, 8043 Strassen;Strassen;L-8043;1;Concordant;;Validé automatiquement;1, Rue des Capucines 8043 Strassen;49.621024539;6.072931049
ETA-000009;1 Rue Des Glacis, 1628 Luxembourg-Limpertsberg;Luxembourg;L-1628;3;Concordant;;Validé automatiquement;1, Rue des Glacis 1628 Luxembourg;49.619178173;6.12569727
ETA-000010;1 Rue Enz, 5532 Remich;Remich;L-5532;2;Variante typographique;IMP-000336;Validé automatiquement;1, Rue Enz 5532 Remich;49.544444887;6.368090883
ETA-000011;1 Rue Henri Kirpach, 8237 Mamer;Mamer;L-8237;1;Concordant;;Validé automatiquement;1, Rue Henri Kirpach 8237 Mamer;49.629524009;6.020742711
ETA-000012;1, Rue John Castegnaro (3ième Étage), L-4639 Differdange;Differdange;L-4639;1;Concordant;;Validé automatiquement;1, Rue John Castegnaro 4639 Differdange;49.520116486;5.900282741
ETA-000013;1, Rue Philippe II (4ème étage), 2340 Luxembourg;Luxembourg;L-2340;1;Concordant;;Validé automatiquement;1, Rue Philippe II 2340 Luxembourg;49.611956007;6.128210765
ETA-000014;1, Val Sainte-Croix, 1371 Luxembourg;Luxembourg;L-1371;21;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000015;10-12, rue Léon Thyes, L- 2636 Luxembourg-Kirchberg;Luxembourg;L-2636;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000016;10 Rue André Duchscher, 1424 Luxembourg;Luxembourg;L-1424;1;Concordant;;Validé automatiquement;10, Rue André Duchscher 1424 Luxembourg;49.602858051;6.130860823
ETA-000017;10, rue de Cessange, L-1320 Luxembourg-Hollerich;Luxembourg;L-1320;1;Concordant;;Validé automatiquement;10, Rue de Cessange 1320 Luxembourg;49.59751536;6.116641788
ETA-000018;10, Rue De Moutfort, 5355 Oetrange;Contern;L-5355;3;Variante typographique;IMP-000558;Validé automatiquement;10, Rue de Moutfort 5355 Oetrange;49.599834283;6.258955274
ETA-000019;10, rue G.D. Charlotte, L-9515 Wiltz;Wiltz;L-9515;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000020;102, Av. Salentiny, L-9080 Ettelbruck;Ettelbruck;L-9080;2;Variante typographique;IMP-000603;Résultat sans concordance numéro/rue/code postal;;;
ETA-000021;103a Boulevard John F. Kennedy, 4930 Bascharage;Käerjeng;L-4930;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000022;106-108, Route D'arlon, 8010 Strassen;Strassen;L-8010;2;Concordant;;Adresse ou numéro ambigu;;;
ETA-000023;106, Route d'Arlon, L-8010 Strassen;Strassen;L-8010;2;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000024;107 Rue De Mühlenbach, 2168 Luxembourg;Luxembourg;L-2168;6;Concordant;;Validé automatiquement;107, Rue de Mühlenbach 2168 Luxembourg;49.62814041;6.122443671
ETA-000025;11-13 Rue Jean Fischbach, 3372 Leudelange;Leudelange;L-3372;3;Variante typographique;IMP-000028,IMP-000114;Adresse ou numéro ambigu;;;
ETA-000026;110, Route D'arlon, L-8210 Mamer;Mamer;L-8210;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000027;113 Route De Luxembourg, 7241 Bereldange;Walferdange;L-7241;1;Concordant;;Validé automatiquement;113, Route de Luxembourg 7241 Bereldange;49.650257399;6.127882409
ETA-000028;11a, Avenue De La Porte-Neuve, 2. Etage, 2227 Luxembourg;Luxembourg;L-2227;1;Concordant;;Validé automatiquement;11A, Avenue de la Porte-Neuve 2227 Luxembourg;49.612535186;6.127989341
ETA-000029;11a Boulevard Joseph II, 1840 Luxembourg;Luxembourg;L-1840;1;Concordant;;Validé automatiquement;11A, Boulevard Joseph II 1840 Luxembourg;49.60958979;6.120350724
ETA-000030;11a Boulevard Prince Henri, 1724 Luxembourg;Luxembourg;L-1724;1;Concordant;;Validé automatiquement;11A, Boulevard Prince Henri 1724 Luxembourg;49.611989347;6.124325234
ETA-000031;12-16, Avenue Monterey, 2163 Luxembourg;Luxembourg;L-2163;3;Concordant;;Adresse ou numéro ambigu;;;
ETA-000032;12, avenue Victor Hugo, L-1750 Luxembourg-Limpertsberg;Luxembourg;L-1750;1;Concordant;;Validé automatiquement;12, Avenue Victor Hugo 1750 Luxembourg;49.619074444;6.124558108
ETA-000033;12, bd GrandeDuchesse Charlotte, L-9024 Ettelbruck;Ettelbruck;L-9024;5;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000034;12, Rue De La Gare, 3377 Leudelange;Leudelange;L-3377;1;Concordant;;Validé automatiquement;12, Rue de la Gare 3377 Leudelange;49.568887825;6.065030424
ETA-000035;12, Rue Jean Engling, 1466 Luxembourg;Luxembourg;L-1466;1;Concordant;;Validé automatiquement;12, Rue Jean Engling 1466 Luxembourg;49.640122004;6.147688205
ETA-000036;12, rue Principale, 5240 Sandweiler;Sandweiler;L-5240;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000037;120, Av. Lucien Salentiny, L-9080 Ettelbruck;Ettelbruck;L-9080;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000038;120, avenue Salentiny, L-9080 Ettelbruck;Ettelbruck;L-9080;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000039;121/127 Avenue de Luxembourg, 4940 Bascharage;Käerjeng;L-4940;8;Variante typographique;IMP-000030,IMP-000252,IMP-000289,IMP-000303,IMP-000464,IMP-000520;Adresse ou numéro ambigu;;;
ETA-000040;121A, Route d'Arlon, L-1150 Luxembourg;Luxembourg;L-1150;1;Concordant;;Validé automatiquement;121A, Route d'Arlon 1150 Luxembourg;49.614483563;6.109804664
ETA-000041;121C Route D'Arlon, 1150 Luxembourg;Luxembourg;L-1150;1;Concordant;;Validé automatiquement;121C, Route d'Arlon 1150 Luxembourg;49.614381375;6.109319083
ETA-000042;121D, route d’Arlon, 1150 Luxembourg;Luxembourg;L-1150;2;Variante typographique;IMP-000457;Validé automatiquement;121D, Route d'Arlon 1150 Luxembourg;49.614559356;6.109385018
ETA-000043;129, Rue De Strasbourg, L-2561 Luxembourg;Luxembourg;L-2561;1;Concordant;;Validé automatiquement;129, Rue de Strasbourg 2561 Luxembourg;49.599234113;6.123202803
ETA-000044;129 rue des Aubépines, 1145 Luxembourg-Belair;Luxembourg;L-1145;1;Concordant;;Validé automatiquement;129, Rue des Aubépines 1145 Luxembourg;49.612571903;6.097420286
ETA-000045;13, Route De Luxembourg, 4760 Pétange;Pétange;L-4760;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000046;13, Rue De Flaxweiler, 6776 Grevenmacher;Grevenmacher;L-6776;4;Concordant;;Validé automatiquement;13, Rue de Flaxweiler 6776 Grevenmacher;49.676751126;6.392170984
ETA-000047;13, rue du Verger, L-2665 Luxembourg;Luxembourg;L-2665;1;Concordant;;Validé automatiquement;13, Rue du Verger 2665 Luxembourg;49.602263927;6.137813768
ETA-000048;13 Rue Evy Friedrich, 1552 Luxembourg;Luxembourg;L-1552;1;Concordant;;Validé automatiquement;13, Rue Evy Friedrich 1552 Luxembourg;49.592499093;6.115756894
ETA-000049;13 Rue Jean-Pierre Sauvage, 2514 Luxembourg;Luxembourg;L-2514;1;Concordant;;Validé automatiquement;13, Rue Jean-Pierre Sauvage 2514 Luxembourg;49.624562031;6.138205887
ETA-000050;130, Rue de Rollingergrund, L-2440 Luxembourg-Rollingergrund;Luxembourg;L-2440;1;Concordant;;Validé automatiquement;130, Rue de Rollingergrund 2440 Luxembourg;49.617429187;6.113202752
ETA-000051;131, Rue de Rollingergrund, L-2440 Luxembourg;Luxembourg;L-2440;4;Concordant;;Validé automatiquement;131, Rue de Rollingergrund 2440 Luxembourg;49.617206671;6.113155568
ETA-000052;13a, avenue Guillaume, L-1651 Luxembourg;Luxembourg;L-1651;1;Concordant;;Validé automatiquement;13A, Avenue Guillaume 1651 Luxembourg;49.60649511;6.118316091
ETA-000053;13A, rue Astrid, L-1143 Luxembourg-Belair;Luxembourg;L-1143;4;Concordant;;Validé automatiquement;13A, Rue Astrid 1143 Luxembourg;49.607644922;6.106118803
ETA-000054;13c, Fausermillen - Ökopark, 6689 Mertert;Mertert;L-6689;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000055;14, Route De Luxembourg, 3253 Bettembourg;Bettembourg;L-3253;1;Concordant;;Validé automatiquement;14, Route de Luxembourg 3253 Bettembourg;49.519911877;6.100478738
ETA-000056;14, Rue Beck, L-1222 Luxembourg-Centre Ville;Luxembourg;L-1222;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000057;14, Rue De L'école, 8352 Dahlem;Garnich;L-8352;1;Concordant;;Validé automatiquement;14, Rue de l'Ecole 8352 Dahlem;49.599622372;5.946485054
ETA-000058;14, Rue Prince Jean, 9052 Ettelbruck;Ettelbruck;L-9052;3;Variante typographique;IMP-000297;Validé automatiquement;14, Rue Prince Jean 9052 Ettelbruck;49.849187494;6.102043463
ETA-000059;14, Rue Principale, L-5240 Sandweiler;Sandweiler;L-5240;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000060;147, Rue De L'alzette, 4011 Esch-sur-Alzette;Esch-sur-Alzette;L-4011;2;Concordant;;Validé automatiquement;147, Rue de l'Alzette 4011 Esch-sur-Alzette;49.491862911;5.975738247
ETA-000061;15, Avenue De La Gare, 4131 Esch-sur-Alzette;Esch-sur-Alzette;L-4131;1;Concordant;;Validé automatiquement;15, Avenue de la Gare 4131 Esch-sur-Alzette;49.493880506;5.983234826
ETA-000062;15, rue Guillaume, L-9237 Diekirch;Diekirch;L-9237;3;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000063;15 rue Michel Rodange L-4640 Differdange;Differdange;L-4640;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000064;15, Rue Michel Rodange, 4660 Differdange;Differdange;L-4660;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000065;155 Avenue Lucien Salentiny, 9080 Ettelbruck;Ettelbruck;L-9080;2;Concordant;;Validé automatiquement;155, Avenue Lucien Salentiny 9080 Ettelbruck;49.852830932;6.094257087
ETA-000066;15b Boulevard Grande-Duchesse Charlotte, 1331 Luxembourg;Luxembourg;L-1331;1;Concordant;;Validé automatiquement;15B, Boulevard Grande-Duchesse Charlotte 1331 Luxembourg;49.60746835;6.119648542
ETA-000067;16-18 Rue Des Tondeurs, 9570 Wiltz;Wiltz;L-9570;2;À vérifier manuellement;IMP-000022;Adresse ou numéro ambigu;;;
ETA-000068;16, Avenue De La Porte-Neuve, 2227 Luxembourg;Luxembourg;L-2227;1;Concordant;;Validé automatiquement;16, Avenue de la Porte-Neuve 2227 Luxembourg;49.612798618;6.128243477
ETA-000069;16, avenue Salentiny, L-9080 Ettelbruck;Ettelbruck;L-9080;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000070;16, Esplanade De La Moselle, 6637 Wasserbillig;Mertert;L-6637;1;Concordant;;Validé automatiquement;16, Esplanade de la Moselle 6637 Wasserbillig;49.713395894;6.502027732
ETA-000071;16, Place de la Libération, L-9060 Ettelbruck;Ettelbruck;L-9060;1;Concordant;;Validé automatiquement;16, Place de la Libération 9060 Ettelbruck;49.8469252;6.099005991
ETA-000072;16, rue JP Koenig, L-1865 Luxembourg-Limpertsberg;Luxembourg;L-1865;2;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000073;161 Avenue Lucien Salentiny, 9080 Ettelbruck;Ettelbruck;L-9080;2;Concordant;;Validé automatiquement;161, Avenue Lucien Salentiny 9080 Ettelbruck;49.852960842;6.093851494
ETA-000074;169 Route d'Esch, L-1471 Luxembourg-Gasperich;Luxembourg;L-1471;1;Concordant;;Validé automatiquement;169, Route d'Esch 1471 Luxembourg;49.593986363;6.117406967
ETA-000075;169, Route De Burange, 3429 Dudelange;Dudelange;L-3429;1;Concordant;;Validé automatiquement;169, Route de Burange 3429 Dudelange;49.490097513;6.086708759
ETA-000076;16b Cité Herrenberg, 6679 Mertert;Mertert;L-6679;1;Concordant;;Validé automatiquement;16B, Cité Herrenberg 6679 Mertert;49.707558609;6.486832188
ETA-000077;17, avenue Charlotte, L-4530 Differdange;Differdange;L-4530;3;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000078;17, avenue des Allies, L-9012 Ettelbruck;Ettelbruck;L-9012;1;Concordant;;Validé automatiquement;17, Avenue des Alliés 9012 Ettelbruck;49.842014145;6.099201594
ETA-000079;17, Rue De Bergem, 4029 Esch-sur-Alzette;Esch-sur-Alzette;L-4029;2;Concordant;;Validé automatiquement;17, Rue de Bergem 4029 Esch-sur-Alzette;49.512034323;5.993760845
ETA-000080;17, Rue de Consdorf, L-6551 Berdorf;Berdorf;L-6551;2;Concordant;;Validé automatiquement;17, Rue de Consdorf 6551 Berdorf;49.820061969;6.348592111
ETA-000081;17, rue des Alliés, L-9002 Ettelbruck;Ettelbruck;L-9002;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000082;17 Rue des Bains, 1212 Luxembourg;Luxembourg;L-1212;2;Variante typographique;IMP-000459;Validé automatiquement;17, Rue des Bains 1212 Luxembourg;49.61327461;6.128352211
ETA-000083;17, Rue Jean-Pierre Sauvage, 2514 Luxembourg;Luxembourg;L-2514;1;Concordant;;Validé automatiquement;17, Rue Jean-Pierre Sauvage 2514 Luxembourg;49.624029512;6.138030458
ETA-000084;173 Route D'arlon, 8009 Strassen;Strassen;L-8009;1;Concordant;;Validé automatiquement;173, Route d'Arlon 8009 Strassen;49.619668307;6.074702756
ETA-000085;177, rue de Luxembourg, L-4222 Esch-sur-Alzette;Esch-sur-Alzette;L-4222;2;Concordant;;Validé automatiquement;177, Rue de Luxembourg 4222 Esch-sur-Alzette;49.506197277;5.988152663
ETA-000086;178, rue Principale, L-5480 Wormeldange;Wormeldange;L-5480;1;Concordant;;Validé automatiquement;178, Rue Principale 5480 Wormeldange;49.612422457;6.408107292
ETA-000087;18-20, avenue de la Gare, L-4131 Esch-sur-Alzette;Esch-sur-Alzette;L-4131;2;Concordant;;Adresse ou numéro ambigu;;;
ETA-000088;18, Im Dahl, 9759 Knaphoscheid;Wiltz;L-9759;1;Concordant;;Validé automatiquement;18, Im Dahl 9759 Knaphoscheid;50.016837831;5.967415465
ETA-000089;18 Rue Charles Darwin, 1433 Luxembourg;Luxembourg;L-1433;1;Concordant;;Validé automatiquement;18, Rue Charles Darwin 1433 Luxembourg;49.585145376;6.124338664
ETA-000090;18, Rue De La Chapelle, 8017 Strassen;Strassen;L-8017;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000091;18 Rue Henri Kirpach, 8237 Mamer;Mamer;L-8237;1;Concordant;;Validé automatiquement;18, Rue Henri Kirpach 8237 Mamer;49.630645252;6.021237052
ETA-000092;185 Route De Thionville, 2611 Luxembourg;Luxembourg;L-2611;1;Concordant;;Validé automatiquement;185, Route de Thionville 2611 Howald;49.587259851;6.143176923
ETA-000093;185, rue de Warken, L-9088 Ettelbruck;Ettelbruck;L-9088;1;Concordant;;Validé automatiquement;185, Rue de Warken 9088 Ettelbruck;49.852185571;6.093304928
ETA-000094;187 Avenue De La Liberté, 4602 Niederkorn;Differdange;L-4602;3;Variante typographique;IMP-000358,IMP-000563;Validé automatiquement;187, Avenue de la Liberté 4602 Niederkorn;49.532499989;5.886306544
ETA-000095;189, route de Longwy, L-1941 Luxembourg-Merl;Luxembourg;L-1941;2;Concordant;;Validé automatiquement;189, Route de Longwy 1941 Luxembourg;49.605832626;6.103989794
ETA-000096;19 Avenue Des Bains, 5610 Mondorf-les-Bains;Mondorf-les-Bains;L-5610;1;Concordant;;Validé automatiquement;19, Avenue des Bains 5610 Mondorf-les-Bains;49.503080764;6.280344386
ETA-000097;19, Route De Luxembourg, 3253 Bettembourg;Bettembourg;L-3253;1;Concordant;;Validé automatiquement;19, Route de Luxembourg 3253 Bettembourg;49.520153523;6.09965185
ETA-000098;19 Route De Stadtbredimus, 5570 Remich;Remich;L-5570;1;Concordant;;Validé automatiquement;19, Route de Stadtbredimus 5570 Remich;49.549769139;6.377020151
ETA-000099;19, rue Pierre Olinger, L-9264 Diekirch;Diekirch;L-9264;1;Concordant;;Validé automatiquement;19, Rue Pierre Olinger 9264 Diekirch;49.863156359;6.162302014
ETA-000100;19, Rue Rudi Herber, 1749 Howald;Hesperange;L-1749;1;Concordant;;Validé automatiquement;19, Rue Rudi Herber 1749 Howald;49.583175218;6.145345414
ETA-000101;195-197, Rue De Differdange, 4438 Soleuvre;Sanem;L-4438;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000102;198a, avenue de la Liberté, L-4602 Niederkorn;Differdange;L-4602;1;Concordant;;Validé automatiquement;198A, Avenue de la Liberté 4602 Niederkorn;49.533586376;5.890624471
ETA-000103;1a, Millewee, 7257 Helmsange;Walferdange;L-7257;3;Concordant;;Validé automatiquement;1A, Millewee 7257 Helmsange;49.667961238;6.134249952
ETA-000104;1a, Route De L'europe, 5531 Remich;Remich;L-5531;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000105;2.-4, Avenue Du X Septembre, L-2550 Luxembourg;Luxembourg;L-2550;1;Concordant;;Validé automatiquement;2, Avenue du Dix Septembre 2550 Luxembourg;49.609693227;6.119057553
ETA-000106;2, An Arzemt, 3928 Mondercange;Mondercange;L-3928;1;Concordant;;Validé automatiquement;2, An Arzemt 3928 Mondercange;49.528497873;5.986168789
ETA-000107;2, Place De Paris, 2314 Luxembourg;Luxembourg;L-2314;1;Concordant;;Validé automatiquement;2, Place de Paris 2314 Luxembourg;49.60395766;6.131322092
ETA-000108;2, rue Alsbach, L-6213 Consdorf;Consdorf;L-6213;1;Concordant;;Validé automatiquement;2, Rue Alsbach 6213 Consdorf;49.783283001;6.336812619
ETA-000109;2, Rue De Drusenheim, 3884 Schifflange;Schifflange;L-3884;2;Variante typographique;IMP-000611;Validé automatiquement;2, Rue de Drusenheim 3884 Schifflange;49.507973732;6.011079577
ETA-000110;2, rue de l'Eau, L-9225 Diekirch;Diekirch;L-9225;1;Concordant;;Validé automatiquement;2, Rue de l'Eau 9225 Diekirch;49.869154931;6.158758883
